SetName,Cycle,Time_S,Temperature_°C,X_Displacement_um,Y_Displacement_um,X_Force_mN,Y_Force_mN,X_MeasuredStrain_%,Y_MeasuredStrain_%
Precon1,1-Stretch,7.4,23.8,9790,0,693,-1,25.44547767,-6.787670905
Precon1,1-Stretch,7.5,23.8,9923,0,706,-1,25.80254077,-6.847528472
Precon1,1-Stretch,7.6,23.8,10055,0,712,2,26.14809404,-6.90914144
Precon1,1-Stretch,7.7,23.8,10187,0,717,2,26.62964366,-6.966004761
Precon1,1-Stretch,7.8,23.8,10320,0,723,-1,26.65210689,-6.987420842
Precon1,1-Stretch,7.9,23.8,10452,0,732,0,27.10438779,-6.966791452
Precon1,1-Stretch,8,23.8,10585,0,744,-2,27.57088325,-6.983918679
Precon1,1-Stretch,8.1,23.8,10717,0,750,-3,27.96212805,-7.042453415
Precon1,1-Stretch,8.2,23.8,10850,0,754,0,28.401661,-7.11983932
Precon1,1-Stretch,8.3,23.8,10982,0,763,0,28.76302183,-7.149143823
Precon1,1-Stretch,8.4,23.8,11115,0,776,1,29.04692524,-7.177604101
Precon1,1-Stretch,8.5,23.8,11247,0,782,-1,29.38187886,-7.248513417
Precon1,1-Stretch,8.6,23.8,11379,0,790,2,29.75532824,-7.391052914
Precon1,1-Stretch,8.7,23.8,11512,0,802,-1,29.9106376,-7.341973142
Precon1,1-Stretch,8.8,23.8,11644,0,795,0,30.17250748,-7.365933259
Precon1,1-Stretch,8.9,23.8,11776,0,810,1,30.53718626,-7.429476939
Precon1,1-Stretch,9,23.8,11909,0,816,4,30.83989786,-7.523397753
Precon1,1-Stretch,9.1,23.8,12041,0,822,1,31.20505784,-7.589943018
Precon1,1-Stretch,9.2,23.8,12174,0,832,-3,31.60674144,-7.664917565
Precon1,1-Stretch,9.3,23.8,12306,0,837,2,32.00161285,-7.761615868
Precon1,1-Stretch,9.4,23.8,12439,0,847,3,32.31050853,-7.779640486
Precon1,1-Stretch,9.5,23.8,12571,0,854,3,32.61001059,-7.793761411
Precon1,1-Stretch,9.6,23.8,12703,0,863,1,33.06339092,-7.926751324
Precon1,1-Stretch,9.7,23.8,12836,0,866,0,33.38682061,-7.92850738
Precon1,1-Stretch,9.8,23.8,12968,0,877,6,33.81375921,-7.984418152
Precon1,1-Stretch,9.9,23.8,13101,0,871,2,34.07355439,-8.039324738
Precon1,1-Hold,10,23.8,13187,0,868,0,34.35070648,-8.098059198
Precon1,1-Hold,10.1,23.8,13187,0,859,1,34.34713601,-8.098061537
Precon1,1-Hold,10.2,23.8,13187,0,852,1,34.22186459,-8.120848732
Precon1,1-Hold,10.3,23.8,13187,0,845,0,34.28268878,-8.108426994
Precon1,1-Hold,10.4,23.8,13187,0,840,1,34.25465343,-8.110144138
Precon1,1-Hold,10.5,23.8,13187,0,836,-1,34.2949806,-8.05126472
Precon1,1-Hold,10.6,23.8,13187,0,834,-1,34.27679272,-8.052025517
Precon1,1-Hold,10.7,23.8,13187,0,829,0,34.28325541,-8.067350217
Precon1,1-Hold,10.8,23.8,13187,0,825,0,34.30190802,-8.048760643
Precon1,1-Hold,10.9,23.8,13187,0,824,-1,34.1757116,-8.034527247
Precon1,1-Hold,11,23.8,13187,0,824,-3,34.25599348,-8.015722206
Precon1,1-Hold,11.1,23.8,13187,0,817,0,34.22899199,-8.064235324
Precon1,1-Hold,11.2,23.8,13187,0,818,2,34.15194042,-8.087027754
Precon1,1-Hold,11.3,23.8,13187,0,815,-3,34.16604165,-8.117668564
Precon1,1-Hold,11.4,23.8,13187,0,813,-3,34.23451618,-8.062237602
Precon1,1-Hold,11.5,23.8,13187,0,810,1,34.21665262,-8.047714999
Precon1,1-Hold,11.6,23.8,13187,0,811,-2,34.14617752,-8.026196261
Precon1,1-Hold,11.7,23.8,13187,0,810,1,34.23271969,-8.083279286
Precon1,1-Hold,11.8,23.8,13187,0,804,1,34.1570606,-8.05055115
Precon1,1-Hold,11.9,23.8,13187,0,806,-3,34.23630402,-7.964100888
Precon1,1-Hold,12,23.8,13187,0,804,-3,34.21348213,-8.051739691
Precon1,1-Hold,12.1,23.8,13187,0,801,2,34.18704341,-7.993032011
Precon1,1-Hold,12.2,23.8,13187,0,802,0,34.17997504,-8.092588282
Precon1,1-Hold,12.3,23.8,13187,0,799,-3,34.16761653,-8.01754949
Precon1,1-Hold,12.4,23.8,13187,0,800,-2,34.22345385,-7.988630855
Precon1,1-Hold,12.5,23.8,13187,0,797,0,34.16853368,-8.040618834
Precon1,1-Hold,12.6,23.8,13187,0,796,0,34.15576618,-7.957329435
Precon1,1-Hold,12.7,23.8,13187,0,793,-2,34.24542659,-7.966706387
Precon1,1-Hold,12.8,23.8,13187,0,795,-2,34.09124847,-8.001103918
Precon1,1-Hold,12.9,23.8,13187,0,794,-3,34.14958251,-7.944585495
Precon1,1-Hold,13,23.8,13187,0,790,1,34.15802781,-8.073529065
Precon1,1-Hold,13.1,23.8,13187,0,791,-1,34.20966914,-7.992307727
Precon1,1-Hold,13.2,23.8,13187,0,789,-3,34.03819341,-8.028306198
Precon1,1-Hold,13.3,23.8,13187,0,788,0,34.14994999,-8.009131486
Precon1,1-Hold,13.4,23.8,13187,0,789,0,34.09879422,-8.008427852
Precon1,1-Hold,13.5,23.8,13187,0,787,2,34.06448507,-7.953626633
Precon1,1-Hold,13.6,23.8,13187,0,785,-1,34.08658161,-8.028680609
Precon1,1-Hold,13.7,23.8,13187,0,784,-2,34.14805407,-7.971308198
Precon1,1-Hold,13.8,23.8,13187,0,784,-1,34.10889479,-7.990796382
Precon1,1-Hold,13.9,23.8,13187,0,783,1,34.10954744,-7.983477136
Precon1,1-Hold,14,23.8,13187,0,782,-2,34.14996863,-7.950978595
Precon1,1-Hold,14.1,23.8,13187,0,781,-1,34.14093875,-8.008410881
Precon1,1-Hold,14.2,23.8,13187,0,778,-2,34.11905863,-7.973576372
Precon1,1-Hold,14.3,23.8,13187,0,776,-2,34.07020706,-7.980089712
Precon1,1-Hold,14.4,23.8,13187,0,776,0,34.14423138,-7.973041222
Precon1,1-Hold,14.5,23.8,13187,0,779,-1,33.98475267,-8.109199378
Precon1,1-Hold,14.6,23.8,13187,0,778,-3,34.08360117,-7.936549068
Precon1,1-Hold,14.7,23.8,13187,0,776,-1,34.1141427,-7.978440429
Precon1,1-Hold,14.8,23.8,13187,0,774,-1,34.07411371,-7.935002534
Precon1,1-Hold,14.9,23.8,13187,0,772,-1,34.07914,-8.017776331
Precon1,1-Hold,15,23.8,13187,0,776,-1,34.17806301,-7.955461187
Precon1,1-Hold,15.1,23.8,13187,0,775,1,34.09214791,-8.023054462
Precon1,1-Hold,15.2,23.8,13187,0,772,-3,34.02893703,-7.914366449
Precon1,1-Hold,15.3,23.8,13187,0,773,-2,34.06250817,-7.951663944
Precon1,1-Hold,15.4,23.8,13187,0,770,-3,34.02559622,-7.991898043
Precon1,1-Hold,15.5,23.8,13187,0,771,-3,34.0566163,-7.936249074
Precon1,1-Hold,15.6,23.8,13187,0,768,-3,34.03795175,-7.978631777
Precon1,1-Hold,15.7,23.8,13187,0,769,-2,34.05964117,-7.92602672
Precon1,1-Hold,15.8,23.8,13187,0,769,-2,34.05744639,-7.983761583
Precon1,1-Hold,15.9,23.8,13187,0,764,-2,34.07719793,-7.90212448
Precon1,1-Hold,16,23.8,13187,0,766,-3,34.07259461,-8.010615434
Precon1,1-Hold,16.1,23.8,13187,0,765,-5,34.01505995,-8.064019752
Precon1,1-Hold,16.2,23.8,13187,0,763,-1,34.03983453,-7.978580125
Precon1,1-Hold,16.3,23.8,13187,0,764,-2,34.0976729,-7.926669821
Precon1,1-Hold,16.4,23.8,13187,0,763,-4,34.06018172,-8.024454049
Precon1,1-Hold,16.5,23.8,13187,0,763,-4,34.09720591,-7.943247219
Precon1,1-Hold,16.6,23.8,13187,0,763,-3,33.98247502,-7.933823637
Precon1,1-Hold,16.7,23.8,13187,0,761,-1,34.14996322,-7.952298202
Precon1,1-Hold,16.8,23.8,13187,0,760,-3,34.06928849,-7.91521667
Precon1,1-Hold,16.9,23.8,13187,0,762,-4,34.00883733,-8.010591742
Precon1,1-Hold,17,23.8,13187,0,760,-2,34.01132071,-7.999314871
Precon1,1-Hold,17.1,23.8,13187,0,758,-1,34.08009798,-7.940029096
Precon1,1-Hold,17.2,23.8,13187,0,756,-2,34.06442446,-7.958342984
Precon1,1-Hold,17.3,23.8,13187,0,758,-5,34.05082444,-7.96639828
Precon1,1-Hold,17.4,23.8,13187,0,759,-2,34.04188641,-7.913347977
Precon1,1-Hold,17.5,23.8,13187,0,757,-3,34.02015409,-8.055999706
Precon1,1-Hold,17.6,23.8,13187,0,756,-3,34.0872655,-7.917719011
Precon1,1-Hold,17.7,23.8,13187,0,756,-6,34.01989158,-7.899063259
Precon1,1-Hold,17.8,23.8,13187,0,756,-2,34.00835416,-7.99904992
Precon1,1-Hold,17.9,23.8,13187,0,753,-5,34.06266879,-7.945355896
Precon1,1-Hold,18,23.8,13187,0,753,-4,34.02735293,-7.9785804
Precon1,1-Hold,18.1,23.8,13187,0,756,-3,34.05625231,-7.979971178
Precon1,1-Hold,18.2,23.8,13187,0,755,-5,34.09226537,-7.913343396
Precon1,1-Hold,18.3,23.8,13187,0,753,-1,34.06630592,-7.900792722
Precon1,1-Hold,18.4,23.8,13187,0,751,-2,34.11255243,-7.928047192
Precon1,1-Hold,18.5,23.8,13187,0,751,-3,34.15515414,-8.091966206
Precon1,1-Hold,18.6,23.8,13187,0,750,-1,34.12542494,-7.938466754
Precon1,1-Hold,18.7,23.8,13187,0,753,-6,34.04796111,-7.927030398
Precon1,1-Hold,18.8,23.8,13187,0,749,-1,34.01694192,-7.97302151
Precon1,1-Hold,18.9,23.8,13187,0,749,-3,33.97530087,-7.943157056
Precon1,1-Hold,19,23.8,13187,0,751,-3,34.05047773,-7.900252985
Precon1,1-Hold,19.1,23.8,13187,0,750,-5,34.03235493,-7.94005712
Precon1,1-Hold,19.2,23.8,13187,0,749,-6,33.95587301,-7.95419461
Precon1,1-Hold,19.3,23.8,13187,0,748,-3,34.03064453,-7.986812684
Precon1,1-Hold,19.4,23.8,13187,0,747,-2,33.99706772,-7.962602302
Precon1,1-Hold,19.5,23.8,13187,0,746,-2,34.02702158,-7.978191973
Precon1,1-Hold,19.6,23.8,13187,0,746,-4,33.99891242,-8.028052609
Precon1,1-Hold,19.7,23.8,13187,0,745,-5,33.99539229,-7.986453278
Precon1,1-Hold,19.8,23.8,13187,0,748,-3,34.08790353,-7.989112667
Precon1,1-Hold,19.9,23.8,13187,0,745,-3,34.01325424,-8.074613629
Precon1,1-Hold,20,23.8,13187,0,746,-5,34.10163209,-7.971438975
Precon1,1-Hold,20.1,23.8,13187,0,746,-3,34.0656696,-7.966870636
Precon1,1-Hold,20.2,23.8,13187,0,745,-5,34.03242181,-7.954764851
Precon1,1-Hold,20.3,23.8,13187,0,746,-2,34.07513861,-7.996282172
Precon1,1-Hold,20.4,23.8,13187,0,745,-2,33.97740724,-8.064412237
Precon1,1-Hold,20.5,23.8,13187,0,746,-6,34.00337872,-8.125011736
Precon1,1-Hold,20.6,23.8,13187,0,743,-5,33.98256983,-8.072585962
